Date,s&p(log),vix
2019-03-18,0.003699111,13.1
2019-03-19,-0.000130615,13.56
2019-03-20,-0.002948666,13.91
2019-03-21,0.01079405,13.63
2019-03-22,-0.019156854,16.48
2019-03-25,-0.000839425,16.33
2019-03-26,0.007157105,14.68
2019-03-27,-0.004655199,15.15
2019-03-28,0.003583117,14.43
2019-03-29,0.00671172,13.71
2019-04-01,0.011502182,13.4
2019-04-02,1.74385E-05,13.36
2019-04-03,0.002146103,13.74
2019-04-04,0.002082469,13.58
2019-04-05,0.004625684,12.82
2019-04-08,0.001046902,13.18
2019-04-09,-0.006085953,14.28
2019-04-10,0.003471834,13.3
2019-04-11,3.80851E-05,13.02
2019-04-12,0.006587632,12.01
2019-04-15,-0.000629624,12.32
2019-04-16,0.000509235,12.18
2019-04-17,-0.002276364,12.6
2019-04-18,0.00157782,12.09
2019-04-22,0.001011526,12.42
2019-04-23,0.008802364,12.28
2019-04-24,-0.002194192,13.14
2019-04-25,-0.000369015,13.25
2019-04-26,0.004674363,12.73
2019-04-29,0.001070899,13.11
2019-04-30,0.000950948,13.12
2019-05-01,-0.007530413,14.8
2019-05-02,-0.002126258,14.42
2019-05-03,0.009592171,12.87
2019-05-06,-0.00448104,15.44
2019-05-07,-0.016649515,19.32
2019-05-08,-0.001606671,19.4
2019-05-09,-0.003026016,19.1
2019-05-10,0.003713418,16.040001
2019-05-13,-0.024426545,20.549999
2019-05-14,0.00798406,18.059999
2019-05-15,0.005821977,16.440001
2019-05-16,0.00885592,15.29
2019-05-17,-0.005854424,15.96
2019-05-20,-0.006772241,16.309999
2019-05-21,0.008459905,14.95
2019-05-22,-0.002828362,14.75
2019-05-23,-0.011985682,16.92
2019-05-24,0.00135262,15.85
2019-05-28,-0.008410891,17.5
2019-05-29,-0.006935956,17.9
2019-05-30,0.002096241,17.299999
2019-05-31,-0.013283188,18.709999
2019-06-03,-0.002769032,18.860001
2019-06-04,0.021205902,16.969999
2019-06-05,0.008128769,16.09
2019-06-06,0.00611681,15.93
2019-06-07,0.010442945,16.299999
2019-06-10,0.004649257,15.94
2019-06-11,-0.000349938,15.99
2019-06-12,-0.002039698,15.91
2019-06-13,0.004089078,15.82
