Date,Open,High,Low,Close,Adj Close,Volume
2013-02-11,13.370000,13.420000,12.240000,12.460000,12.460000,0
2013-02-18,12.810000,16.209999,12.080000,14.170000,14.170000,0
2013-02-25,13.690000,19.280001,13.570000,15.360000,15.360000,0
2013-03-04,16.160000,16.160000,12.490000,12.590000,12.590000,0
2013-03-11,12.310000,12.930000,11.050000,11.300000,11.300000,0
2013-03-18,13.470000,15.400000,12.300000,13.570000,13.570000,0
2013-03-25,12.850000,14.610000,12.390000,12.700000,12.700000,0
2013-04-01,13.460000,15.650000,12.620000,13.920000,13.920000,0
2013-04-08,14.040000,14.500000,11.990000,12.060000,12.060000,0
2013-04-15,13.120000,18.200001,12.660000,14.970000,14.970000,0
2013-04-22,15.080000,16.000000,13.130000,13.610000,13.610000,0
2013-04-29,13.720000,14.670000,12.770000,12.850000,12.850000,0
2013-05-06,13.060000,13.530000,12.490000,12.590000,12.590000,0
2013-05-13,12.570000,13.460000,12.260000,12.450000,12.450000,0
2013-05-20,13.280000,15.110000,12.840000,13.990000,13.990000,0
2013-05-27,13.670000,16.350000,13.560000,16.299999,16.299999,0
2013-06-03,16.400000,18.510000,14.960000,15.140000,15.140000,0
2013-06-10,15.160000,18.600000,15.100000,17.150000,17.150000,0
2013-06-17,16.530001,21.320000,15.360000,18.900000,18.900000,0
2013-06-24,20.870001,21.910000,16.190001,16.860001,16.860001,0
2013-07-01,16.900000,17.320000,14.890000,14.890000,14.890000,0
2013-07-08,14.660000,15.270000,13.570000,13.840000,13.840000,0
2013-07-15,13.980000,14.560000,12.540000,12.540000,12.540000,0
2013-07-22,13.230000,13.730000,12.070000,12.720000,12.720000,0
2013-07-29,13.540000,14.140000,11.980000,11.980000,11.980000,0
2013-08-05,12.290000,13.910000,11.830000,13.410000,13.410000,0
2013-08-12,13.520000,14.880000,12.290000,14.370000,14.370000,0
2013-08-19,14.940000,16.559999,13.980000,13.980000,13.980000,0
2013-08-26,14.370000,17.809999,13.900000,17.010000,17.010000,0
2013-09-02,16.469999,17.370001,15.170000,15.850000,15.850000,0
2013-09-09,15.860000,16.020000,13.730000,14.160000,14.160000,0
2013-09-16,14.100000,14.680000,12.520000,13.120000,13.120000,0
2013-09-23,14.040000,15.790000,13.580000,15.460000,15.460000,0
2013-09-30,17.490000,18.709999,15.470000,16.740000,16.740000,0
2013-10-07,18.760000,21.340000,15.460000,15.720000,15.720000,0
2013-10-14,17.080000,18.670000,12.340000,13.040000,13.040000,0
2013-10-21,13.340000,14.210000,12.930000,13.090000,13.090000,0
2013-10-28,13.620000,14.350000,13.060000,13.280000,13.280000,0
2013-11-04,13.350000,14.140000,12.670000,12.900000,12.900000,0
