Week,Date,LSTM,Passive,Correct
54,2004-02-23,1.0,1.001,0.0
55,2004-03-01,1.0,1.011,0.0
56,2004-03-08,1.0,0.979,0.33333
57,2004-03-15,0.99,0.97,0.25
58,2004-03-22,0.989,0.968,0.4
59,2004-03-29,1.019,0.998,0.5
60,2004-04-04,1.019,0.996,0.57143
61,2004-04-11,1.019,0.992,0.5
62,2004-04-18,1.019,0.997,0.44444
63,2004-04-25,1.019,0.968,0.5
64,2004-05-02,1.011,0.96,0.45455
65,2004-05-09,1.008,0.958,0.41667
66,2004-05-16,1.006,0.956,0.38462
67,2004-05-23,1.031,0.98,0.42857
68,2004-05-30,1.031,0.981,0.46667
69,2004-06-06,1.031,0.993,0.4375
70,2004-06-13,1.031,0.992,0.41176
71,2004-06-20,1.031,0.992,0.44444
72,2004-06-27,1.031,0.984,0.42105
73,2004-07-04,1.031,0.973,0.45
74,2004-07-11,1.031,0.963,0.42857
75,2004-07-18,1.031,0.949,0.45455
76,2004-07-25,1.046,0.963,0.47826
77,2004-08-01,1.046,0.93,0.5
78,2004-08-08,1.047,0.931,0.52
79,2004-08-15,1.08,0.96,0.53846
80,2004-08-22,1.08,0.968,0.51852
81,2004-08-29,1.08,0.973,0.5
82,2004-09-05,1.08,0.982,0.48276
83,2004-09-12,1.08,0.986,0.5
84,2004-09-19,1.08,0.97,0.51613
85,2004-09-26,1.08,0.989,0.5
86,2004-10-03,1.08,0.981,0.51515
87,2004-10-10,1.08,0.969,0.5
88,2004-10-17,1.08,0.958,0.51429
89,2004-10-24,1.08,0.988,0.52778
90,2004-11-01,1.114,1.019,0.54054
91,2004-11-08,1.114,1.035,0.52632
92,2004-11-15,1.114,1.023,0.53846
93,2004-11-22,1.114,1.034,0.525
94,2004-11-29,1.114,1.041,0.53659
95,2004-12-06,1.114,1.038,0.52381
96,2004-12-13,1.114,1.044,0.51163
97,2004-12-20,1.114,1.058,0.5
98,2004-12-27,1.114,1.059,0.51111
99,2005-01-03,1.114,1.037,0.52174
100,2005-01-10,1.113,1.035,0.53191
101,2005-01-17,1.113,1.021,0.54167
102,2005-01-24,1.116,1.024,0.55102
103,2005-01-31,1.116,1.051,0.54
104,2005-02-07,1.116,1.053,0.54902
105,2005-02-14,1.116,1.05,0.53846
106,2005-02-21,1.116,1.059,0.54717
107,2005-02-28,1.116,1.068,0.55556
108,2005-03-07,1.096,1.049,0.54545
109,2005-03-14,1.086,1.04,0.53571
110,2005-03-21,1.07,1.024,0.52632
111,2005-03-28,1.071,1.025,0.51724
112,2005-04-03,1.079,1.032,0.52542
113,2005-04-10,1.079,0.999,0.53333
114,2005-04-17,1.088,1.007,0.54098
115,2005-04-24,1.088,1.011,0.53226
116,2005-05-01,1.101,1.024,0.53968
117,2005-05-08,1.101,1.009,0.54688
118,2005-05-15,1.135,1.039,0.55385
119,2005-05-22,1.135,1.048,0.54545
120,2005-05-29,1.135,1.045,0.53731
121,2005-06-05,1.135,1.047,0.52941
122,2005-06-12,1.135,1.064,0.52174
123,2005-06-19,1.135,1.041,0.52857
124,2005-06-26,1.135,1.044,0.52113
125,2005-07-03,1.135,1.059,0.52778
126,2005-07-10,1.135,1.073,0.52055
127,2005-07-17,1.135,1.078,0.52703
128,2005-07-24,1.135,1.079,0.53333
129,2005-07-31,1.128,1.072,0.52632
130,2005-08-07,1.131,1.075,0.51948
131,2005-08-14,1.121,1.066,0.51282
132,2005-08-21,1.108,1.053,0.50633
133,2005-08-28,1.12,1.065,0.5125
134,2005-09-04,1.141,1.085,0.51852
135,2005-09-11,1.141,1.082,0.5122
136,2005-09-18,1.141,1.062,0.51807
