Week,Date,LSTM,Passive,Correct
54,2004-02-23,1.0,1.001,0.0
55,2004-03-01,1.0,1.011,0.0
56,2004-03-08,1.0,0.979,0.33333
57,2004-03-15,0.99,0.97,0.25
58,2004-03-22,0.989,0.968,0.4
59,2004-03-29,0.989,0.998,0.33333
60,2004-04-04,0.989,0.996,0.42857
61,2004-04-11,0.989,0.992,0.375
62,2004-04-18,0.989,0.997,0.33333
63,2004-04-25,0.989,0.968,0.4
64,2004-05-02,0.981,0.96,0.36364
65,2004-05-09,0.978,0.958,0.33333
66,2004-05-16,0.977,0.956,0.30769
67,2004-05-23,1.001,0.98,0.35714
68,2004-05-30,1.001,0.981,0.4
69,2004-06-06,1.001,0.993,0.375
70,2004-06-13,1.001,0.992,0.35294
71,2004-06-20,1.001,0.992,0.38889
72,2004-06-27,1.001,0.984,0.36842
73,2004-07-04,0.99,0.973,0.35
74,2004-07-11,0.99,0.963,0.33333
75,2004-07-18,0.99,0.949,0.36364
76,2004-07-25,1.004,0.963,0.3913
77,2004-08-01,1.004,0.93,0.41667
78,2004-08-08,1.005,0.931,0.44
79,2004-08-15,1.036,0.96,0.46154
80,2004-08-22,1.036,0.968,0.44444
81,2004-08-29,1.036,0.973,0.42857
82,2004-09-05,1.036,0.982,0.41379
83,2004-09-12,1.036,0.986,0.43333
84,2004-09-19,1.036,0.97,0.45161
85,2004-09-26,1.036,0.989,0.4375
86,2004-10-03,1.036,0.981,0.45455
87,2004-10-10,1.036,0.969,0.44118
88,2004-10-17,1.036,0.958,0.45714
89,2004-10-24,1.069,0.988,0.44444
90,2004-11-01,1.103,1.019,0.45946
91,2004-11-08,1.103,1.035,0.44737
92,2004-11-15,1.103,1.023,0.46154
93,2004-11-22,1.103,1.034,0.45
94,2004-11-29,1.103,1.041,0.46341
95,2004-12-06,1.103,1.038,0.45238
96,2004-12-13,1.103,1.044,0.44186
97,2004-12-20,1.103,1.058,0.43182
98,2004-12-27,1.103,1.059,0.44444
99,2005-01-03,1.079,1.037,0.43478
100,2005-01-10,1.079,1.035,0.42553
101,2005-01-17,1.079,1.021,0.4375
102,2005-01-24,1.083,1.024,0.44898
103,2005-01-31,1.083,1.051,0.44
104,2005-02-07,1.083,1.053,0.45098
105,2005-02-14,1.083,1.05,0.44231
106,2005-02-21,1.083,1.059,0.45283
107,2005-02-28,1.083,1.068,0.46296
108,2005-03-07,1.083,1.049,0.47273
109,2005-03-14,1.073,1.04,0.46429
110,2005-03-21,1.057,1.024,0.45614
111,2005-03-28,1.057,1.025,0.46552
112,2005-04-03,1.064,1.032,0.47458
113,2005-04-10,1.064,0.999,0.48333
114,2005-04-17,1.073,1.007,0.4918
115,2005-04-24,1.073,1.011,0.48387
116,2005-05-01,1.086,1.024,0.49206
117,2005-05-08,1.086,1.009,0.5
118,2005-05-15,1.12,1.039,0.50769
119,2005-05-22,1.12,1.048,0.5
120,2005-05-29,1.12,1.045,0.49254
121,2005-06-05,1.12,1.047,0.48529
122,2005-06-12,1.12,1.064,0.47826
123,2005-06-19,1.12,1.041,0.48571
124,2005-06-26,1.12,1.044,0.47887
125,2005-07-03,1.12,1.059,0.48611
126,2005-07-10,1.12,1.073,0.47945
127,2005-07-17,1.12,1.078,0.48649
128,2005-07-24,1.12,1.079,0.49333
129,2005-07-31,1.113,1.072,0.48684
130,2005-08-07,1.116,1.075,0.48052
131,2005-08-14,1.107,1.066,0.47436
132,2005-08-21,1.093,1.053,0.46835
133,2005-08-28,1.105,1.065,0.475
134,2005-09-04,1.126,1.085,0.48148
135,2005-09-11,1.126,1.082,0.47561
136,2005-09-18,1.126,1.062,0.48193
