Date,Open,High,Low,Close,Adj Close,Volume,Log Return
2013-02-11,68.949997,69.5,67.779999,68.059998,44.62075,25954300,0.0
2013-02-18,68.239998,69.489998,68.239998,69.459999,46.045433,9059800,0.03142958550405047
2013-02-25,69.529999,70.300003,68.050003,69.25,45.906231,17957100,-0.0030277234861130478
2013-03-04,68.900002,70.370003,68.690002,69.639999,46.164757,10989400,0.0056158119957382645
2013-03-11,69.529999,70.169998,69.260002,69.949997,46.370255,10856700,0.0044415261506448745
2013-03-18,69.580002,70.629997,69.5,70.610001,46.80777,9545000,0.009391017150444955
2013-03-25,70.699997,72.68,70.080002,72.589996,48.120338,10584300,0.02765570040431471
2013-04-01,72.559998,72.660004,71.25,72.050003,47.762352,16030900,-0.0074672010852632345
2013-04-08,71.970001,73.449997,71.699997,72.970001,48.372234,12469400,0.012688257317684581
2013-04-15,72.809998,74.379997,72.290001,74.339996,49.280411,10960300,0.01860068786725733
2013-04-22,74.309998,75.419998,73.849998,74.860001,49.625118,9574900,0.0069704575503920195
2013-04-29,75.040001,75.459999,74.139999,74.470001,49.366589,11103000,-0.00522325749518477
2013-05-06,74.300003,74.400002,71.410004,72.18,47.848534,25258300,-0.03123337932203602
2013-05-13,71.93,72.650002,71.0,71.620003,47.477318,21188200,-0.007788398816910227
2013-05-20,71.610001,71.82,68.459999,68.879997,46.150757,14276400,-0.02833871735623063
2013-05-27,69.089996,69.360001,66.169998,66.93,44.844227,18822300,-0.028718501576698037
2013-06-03,66.959999,68.18,66.18,67.690002,45.353443,16948100,0.011291232025520532
2013-06-10,68.029999,68.419998,66.419998,67.639999,45.319935,13305600,-0.0007390923833306882
2013-06-17,68.18,68.959999,64.620003,65.580002,43.939693,20314100,-0.03092892178153653
2013-06-24,65.190002,68.190002,64.949997,67.5,45.226124,14562500,0.028856804350867883
2013-07-01,67.900002,68.050003,66.5,67.269997,45.072025,12542500,-0.003413118680792584
2013-07-08,67.300003,70.25,67.099998,70.150002,47.001667,12619400,0.04192130336423786
2013-07-15,70.059998,71.370003,70.0,70.879997,47.490788,11867700,0.01035268622412191
2013-07-22,70.739998,71.440002,70.080002,70.790001,47.430504,8665400,-0.0012701893713181391
2013-07-29,70.620003,71.910004,70.589996,71.75,48.073696,10572300,0.013469600803010759
2013-08-05,72.0,72.010002,70.550003,70.769997,47.417068,24864400,-0.013752918547610023
2013-08-12,70.75,70.940002,66.699997,67.050003,44.924633,21129600,-0.053995984808977326
2013-08-19,66.949997,67.589996,65.550003,66.349998,44.950699,14680200,0.0005800479430960303
2013-08-26,66.410004,66.589996,65.330002,65.599998,44.442585,9618700,-0.01136818001196068
2013-09-02,65.889999,66.080002,64.160004,65.449997,44.340954,9737400,-0.0022894118782712533
2013-09-09,65.5,66.010002,64.75,65.550003,44.408722,12369900,0.0015271720692481494
2013-09-16,67.489998,68.639999,65.760002,67.360001,45.634953,20241200,0.027238044469531066
2013-09-23,66.970001,68.199997,66.690002,66.900002,45.323303,11970900,-0.006852620823076086
2013-09-30,66.660004,67.550003,66.050003,66.43,45.00489,11145800,-0.007050164700790022
2013-10-07,66.269997,68.870003,66.150002,68.849998,46.644394,12555200,0.035781598049171116
2013-10-14,68.599998,70.190002,67.559998,70.080002,47.477688,14196400,0.017707125786477707
2013-10-21,70.0,72.489998,69.559998,72.370003,49.029114,13396700,0.03215441056198703
2013-10-28,72.309998,73.059998,70.940002,72.510002,49.123962,12757900,0.0019326552643683483
2013-11-04,72.68,73.529999,71.099998,72.43,49.069756,25807700,-0.0011040625940290589
2013-11-11,72.449997,72.889999,70.029999,71.800003,48.642941,22681100,-0.008736177133010215
2013-11-18,71.82,71.849998,69.800003,71.129997,48.718895,14611400,0.001560242052301866
2013-11-25,71.169998,71.32,69.739998,69.959999,47.91753,9374200,-0.016585534282115476
2013-12-02,70.129997,70.540001,69.040001,70.190002,48.075054,11589900,0.0032820064807991944
2013-12-09,70.190002,70.190002,67.919998,68.190002,46.705208,13709300,-0.02890773591960953
2013-12-16,69.099998,69.870003,67.919998,69.5,47.602455,16570900,0.01902865673811644
2013-12-23,69.93,69.93,68.629997,68.949997,47.225746,8987000,-0.007945125557002738
2013-12-30,68.800003,69.239998,67.709999,67.919998,46.520264,9579000,-0.01505120736778174
2014-01-06,68.0,69.5,67.449997,68.589996,46.979168,15539700,0.009816266797397263
