Date,Open,High,Low,Close,Adj Close,Volume,Log Return
2013-02-11,90.400002,91.470001,89.400002,89.989998,54.871048,21279000,0.0
2013-02-18,90.370003,93.610001,90.089996,93.419998,56.962479,19356700,0.03740693734767455
2013-02-25,93.279999,93.57,90.730003,91.440002,55.755196,26943300,-0.021422180135405842
2013-03-04,91.480003,92.919998,90.910004,91.110001,55.553974,19878100,-0.003615555110181676
2013-03-11,90.900002,91.629997,90.040001,91.370003,55.712513,26770300,0.002849718932708142
2013-03-18,90.540001,91.970001,90.25,91.620003,55.864964,30079900,0.002732649975001666
2013-03-25,91.989998,92.940002,90.989998,92.709999,56.529572,27716800,0.011826477868944732
2013-04-01,92.739998,95.32,92.07,92.720001,57.062927,22712500,0.009390741892785088
2013-04-08,92.940002,96.599998,92.800003,96.440002,59.352348,18377000,0.03933704084374301
2013-04-15,95.940002,96.169998,90.699997,91.949997,56.589054,29217100,-0.04767610791363281
2013-04-22,91.900002,95.720001,91.669998,95.309998,58.656902,21392900,0.03588967505471954
2013-04-29,95.309998,96.730003,94.050003,94.260002,58.010693,23995300,-0.011077893712233187
2013-05-06,93.779999,94.559998,92.849998,93.32,57.432213,24535000,-0.010022007621675693
2013-05-13,93.160004,96.32,93.029999,95.68,58.884624,24706100,0.024974655944681196
2013-05-20,95.68,95.75,93.300003,94.120003,57.924538,25343300,-0.016438909489975513
2013-05-27,94.889999,95.599998,90.889999,90.910004,55.949013,24847800,-0.03470030060415291
2013-06-03,90.949997,93.07,89.43,92.089996,56.675217,31343800,0.012896231383297372
2013-06-10,92.260002,93.169998,90.849998,92.120003,56.693672,19442100,0.00032557433217873626
2013-06-17,92.43,93.129997,86.330002,87.459999,53.82576,32915800,-0.051910436583605946
2013-06-24,86.610001,88.959999,86.050003,86.620003,53.3088,36057600,-0.009650742250273686
2013-07-01,87.110001,88.379997,86.580002,87.510002,54.38884,15223900,0.020057565024276525
2013-07-08,88.010002,91.400002,87.779999,89.699997,55.74995,24435300,0.02471752772130206
2013-07-15,89.68,90.75,87.650002,88.610001,55.072491,24290900,-0.012226177888059728
2013-07-22,89.0,90.099998,87.720001,88.879997,55.240295,21445200,0.003042333269144135
2013-07-29,88.599998,89.940002,88.349998,89.589996,55.681587,21063300,0.007956848915233999
2013-08-05,89.389999,89.800003,87.879997,88.699997,55.128433,18771600,-0.009983909303266538
2013-08-12,88.209999,88.980003,85.599998,85.75,53.294983,17238100,-0.03382340931010843
2013-08-19,85.599998,85.800003,83.669998,85.370003,53.058792,26552200,-0.0044416173905852275
2013-08-26,85.5,85.650002,82.860001,83.440002,51.859272,23415700,-0.022866839553271123
2013-09-02,83.830002,84.75,83.160004,84.190002,52.325405,16318700,0.008948266170183534
2013-09-09,84.410004,87.879997,83.730003,87.779999,54.556644,22713000,0.04175749299133309
2013-09-16,88.68,91.25,87.720001,90.470001,56.228519,39802100,0.030184582324208085
2013-09-23,90.120003,90.160004,86.559998,87.330002,54.276962,30463500,-0.03532421935268211
2013-09-30,86.720001,87.949997,86.279999,87.040001,54.669308,19750800,0.007202590711058279
2013-10-07,86.629997,87.260002,84.160004,85.029999,53.406834,27499200,-0.023363739756213392
2013-10-14,84.690002,87.5,84.660004,86.93,54.600204,26262500,0.02209890370180194
2013-10-21,86.639999,89.209999,86.209999,88.599998,55.649124,22640600,0.019028717350151263
2013-10-28,88.730003,90.660004,88.510002,89.760002,56.377731,22702900,0.013007903750708918
2013-11-04,90.150002,91.25,88.709999,89.410004,56.157898,20733900,-0.003906909866323101
2013-11-11,89.360001,91.400002,88.830002,91.360001,57.382668,18906100,0.021574976267407456
2013-11-18,91.32,91.809998,84.900002,86.949997,54.612774,39446500,-0.04947449507819228
2013-11-25,87.139999,87.18,84.860001,85.540001,53.727158,19708500,-0.01634920218971037
2013-12-02,85.330002,86.550003,84.849998,85.830002,53.909309,24036800,0.0033845624807113985
2013-12-09,86.040001,86.489998,84.900002,85.239998,53.538715,22972800,-0.00689813466529012
2013-12-16,85.269997,85.860001,83.809998,85.519997,53.714596,33349000,0.00327973385656236
2013-12-23,84.839996,86.93,84.330002,86.739998,54.480873,11746200,0.014164915028303877
2013-12-30,86.57,87.339996,85.510002,85.529999,54.317905,15302300,-0.002995771181945541
2014-01-06,85.550003,85.669998,82.410004,82.57,52.438099,39470400,-0.035220507475052995
2014-01-13,82.440002,84.550003,82.269997,83.330002,52.920753,31665800,0.009162160885519872
2014-01-20,84.32,84.540001,81.5,81.5,51.75856,20504500,-0.022205739075798342
2014-01-27,81.629997,81.860001,77.190002,78.139999,49.624706,36780200,-0.04210101453811258
2014-02-03,78.089996,80.290001,75.279999,80.25,50.964725,41822700,0.026644912189359004
2014-02-10,79.949997,80.550003,77.550003,80.389999,51.053638,28933900,0.0017430787928286663
2014-02-17,80.209999,80.940002,78.900002,78.970001,50.151825,20428600,-0.017821900965411405
2014-02-24,78.790001,81.599998,78.519997,80.910004,51.383873,26226500,0.024269463792619086
2014-03-03,80.25,81.879997,79.220001,80.339996,51.021873,25264500,-0.007069945232432535
2014-03-10,80.32,80.849998,78.790001,79.889999,50.736099,23353900,-0.005616754062230914
2014-03-17,80.010002,81.449997,79.410004,81.0,51.441032,28384800,0.013798472865231268
2014-03-24,81.120003,81.190002,79.669998,81.019997,51.453743,23645100,0.0002470679403236317
2014-03-31,81.230003,83.150002,81.029999,82.809998,53.212509,25215500,0.03361029041060636
2014-04-07,82.760002,84.970001,82.709999,83.139999,53.424561,26595900,0.003977083757188518
2014-04-14,83.650002,84.82,82.120003,83.150002,53.430996,22907500,0.00012044296409938626
2014-04-21,82.980003,84.199997,82.5,84.110001,54.047855,19255100,0.011478830812580663
2014-04-28,84.580002,85.959999,84.470001,85.379997,54.863945,23735200,0.014986535419888175
