Date,Open,High,Low,Close,Adj Close,Volume,Log Return
2013-02-11,76.809998,76.879997,72.559998,75.18,61.986607,15995700,0.0
2013-02-18,75.370003,75.5,73.559998,74.519997,61.442417,9560800,-0.008817918322855514
2013-02-25,74.809998,78.309998,73.660004,78.129997,64.418884,17981100,0.04730639268215404
2013-03-04,77.989998,79.349998,76.82,77.139999,63.602638,9099900,-0.01275187246720342
2013-03-11,77.129997,77.470001,75.260002,75.559998,62.299919,11443800,-0.02069482184126127
2013-03-18,75.07,77.07,73.910004,76.730003,63.264606,11886400,0.015365900217715832
2013-03-25,76.889999,77.209999,75.470001,76.919998,63.421227,8057600,0.0024725902823642147
2013-04-01,76.970001,78.870003,76.599998,77.82,64.163307,10337400,0.011632889115290966
2013-04-08,77.769997,80.730003,77.68,80.669998,66.513123,8817500,0.035967761291603
2013-04-15,80.629997,81.410004,79.080002,81.050003,67.050499,9347400,0.008046785368279616
2013-04-22,81.389999,84.290001,80.57,82.970001,68.638855,9545400,0.023412721897839817
2013-04-29,83.040001,84.980003,78.540001,83.559998,69.126945,9147200,0.0070858230736944965
2013-05-06,83.589996,85.150002,82.760002,83.099998,68.746376,9059600,-0.005520574448793588
2013-05-13,83.150002,84.480003,82.919998,84.449997,69.863228,8621200,0.016115422580258616
2013-05-20,84.459999,85.260002,80.480003,81.720001,67.604782,9828600,-0.03286072481834377
2013-05-27,82.57,83.080002,77.839996,77.839996,64.394943,11900000,-0.04864361500960779
2013-06-03,77.830002,79.050003,75.769997,78.769997,65.164307,17919300,0.0118767752007025
2013-06-10,78.790001,78.860001,74.330002,77.330002,63.973038,18328700,-0.01845016703725741
2013-06-17,77.720001,78.139999,70.239998,71.989998,59.771729,22665200,-0.06792892337239645
2013-06-24,71.239998,75.550003,69.540001,73.169998,60.751442,21545500,0.016258028591063876
2013-07-01,73.43,73.959999,70.019997,71.669998,59.50605,16424300,-0.020712830509739072
2013-07-08,72.0,78.330002,71.669998,77.839996,64.628845,22642400,0.08258284010263313
2013-07-15,76.449997,77.720001,71.5,75.129997,62.378784,47762100,-0.035435610595079645
2013-07-22,75.150002,75.260002,72.029999,72.580002,60.261581,17586800,-0.03453044789496184
2013-07-29,72.57,73.449997,69.739998,70.5,58.534592,21030800,-0.029076873948747504
2013-08-05,70.220001,71.279999,68.029999,70.160004,58.252323,20062100,-0.004833924239611119
2013-08-12,70.099998,70.190002,68.550003,68.580002,56.940468,16157400,-0.022777670484760412
2013-08-19,68.57,70.099998,67.889999,70.059998,58.169285,11591700,0.02135116529370882
2013-08-26,70.019997,70.489998,68.839996,69.489998,57.696022,13447400,-0.0081692379581417
2013-09-02,69.82,72.440002,68.690002,71.910004,59.705311,15188100,0.03423274958599236
2013-09-09,72.160004,75.150002,72.160004,73.709999,61.199776,15016600,0.024722551465107157
2013-09-16,75.160004,75.989998,72.760002,73.919998,61.374157,16130700,0.002845321405276427
2013-09-23,73.650002,74.900002,72.370003,74.519997,62.101871,11638400,0.011787266523906402
2013-09-30,73.849998,74.559998,72.360001,72.690002,60.57682,12067500,-0.02486380566054383
2013-10-07,72.389999,74.730003,71.550003,74.440002,62.035217,10795300,0.023789928264523023
2013-10-14,74.010002,79.949997,73.82,79.010002,65.843658,14289300,0.05958087384219022
2013-10-21,78.699997,80.970001,78.260002,80.82,67.352058,13532000,0.022650345426181294
2013-10-28,80.940002,81.360001,78.610001,79.370003,66.143677,14458600,-0.01810415897991636
2013-11-04,79.419998,80.050003,76.440002,77.790001,64.826958,13847100,-0.020107764837443833
2013-11-11,79.010002,79.489998,77.190002,79.279999,66.06868,10604200,0.018973271666826084
2013-11-18,79.18,79.559998,76.220001,77.279999,64.401947,9611100,-0.02555094145930537
2013-11-25,77.339996,78.879997,76.629997,77.769997,64.810295,7724600,0.006320598623410668
2013-12-02,77.629997,78.629997,76.720001,78.080002,65.068626,9757100,0.003978033366454029
2013-12-09,78.169998,79.480003,76.5,76.760002,63.968613,11273000,-0.017049956373890077
2013-12-16,76.860001,78.760002,75.650002,77.949997,65.2033,14845000,0.019117539960188026
2013-12-23,79.019997,79.300003,78.220001,78.82,65.93103,4741200,0.011099114484518653
2013-12-30,78.949997,80.129997,78.849998,79.68,66.650398,6130700,0.010851822466522944
2014-01-06,79.860001,82.870003,79.389999,82.639999,69.126366,11644600,0.036475202849474676
