Date,Open,High,Low,Close,Adj Close,Volume
2013-02-11,75.279999,76.160004,75.050003,76.160004,58.010975,41521000
2013-02-18,76.029999,77.019997,75.959999,76.250000,58.079556,35642100
2013-02-25,76.470001,76.769997,75.500000,76.699997,58.889641,50860300
2013-03-04,76.730003,78.220001,76.730003,78.190002,60.033634,47113200
2013-03-11,77.919998,79.239998,77.839996,79.190002,60.801426,54008400
2013-03-18,78.720001,79.739998,78.500000,79.739998,61.223721,38411400
2013-03-25,79.830002,81.589996,79.470001,81.529999,62.598064,44335000
2013-04-01,81.389999,82.949997,81.279999,82.040001,62.989643,48857400
2013-04-08,81.269997,82.959999,80.309998,82.739998,63.527103,49392400
2013-04-15,82.720001,84.570000,81.709999,84.489998,64.870720,59408200
2013-04-22,84.589996,85.739998,84.000000,85.120003,65.354446,40926700
2013-04-29,85.019997,85.989998,83.879997,85.750000,65.838173,50332400
2013-05-06,85.779999,85.779999,84.550003,85.760002,65.845802,41858800
2013-05-13,85.559998,88.199997,85.440002,88.089996,67.634781,51316200
2013-05-20,88.099998,89.989998,86.489998,86.820000,66.659668,55998300
2013-05-27,87.540001,88.290001,84.180000,84.180000,65.118553,41356200
2013-06-03,84.279999,85.180000,82.650002,84.910004,65.683258,51158300
2013-06-10,85.010002,85.709999,83.080002,84.910004,65.683258,40784400
2013-06-17,85.370003,86.500000,82.120003,83.199997,64.360466,59839500
2013-06-24,82.919998,87.820000,82.809998,85.860001,66.418137,58770000
2013-07-01,85.720001,87.879997,85.500000,87.870003,67.973022,27480800
2013-07-08,88.089996,89.989998,87.970001,89.989998,69.612946,44999000
2013-07-15,89.910004,92.269997,89.760002,92.230003,71.345749,58420200
2013-07-22,92.080002,92.930000,91.610001,92.830002,71.809883,41261900
2013-07-29,92.629997,94.419998,92.610001,94.389999,73.016640,47755400
2013-08-05,94.050003,94.370003,91.779999,92.360001,71.446312,45890100
2013-08-12,92.080002,93.349998,88.769997,89.370003,69.133339,59940300
2013-08-19,89.470001,91.650002,87.209999,88.410004,68.390755,40093700
2013-08-26,88.360001,88.480003,85.849998,86.410004,67.347252,38735000
2013-09-02,86.889999,87.919998,86.000000,87.160004,67.931763,31732100
2013-09-09,87.389999,89.570000,87.010002,88.570000,69.030701,39253600
2013-09-16,89.430000,90.720001,88.300003,89.680000,69.895821,45399900
2013-09-23,89.430000,89.750000,86.440002,86.730003,67.596634,34528600
2013-09-30,86.330002,87.489998,86.150002,87.309998,68.048660,34439000
2013-10-07,86.699997,89.480003,85.500000,89.449997,69.716591,39486900
2013-10-14,88.830002,92.050003,88.629997,91.629997,71.415649,45990800
2013-10-21,91.629997,92.989998,90.769997,92.089996,71.774170,34352600
2013-10-28,91.959999,93.580002,91.919998,93.370003,72.771790,33552900
2013-11-04,93.459999,94.099998,92.279999,94.050003,73.301765,30860800
2013-11-11,93.970001,94.639999,92.320000,94.389999,73.566765,35425700
2013-11-18,94.360001,95.750000,94.000000,95.250000,74.237068,35551000
2013-11-25,95.489998,95.989998,94.430000,94.660004,74.292252,22352800
2013-12-02,94.410004,94.660004,92.660004,94.440002,74.119598,37053600
2013-12-09,94.300003,94.790001,91.070000,91.349998,71.694435,44170100
2013-12-16,91.419998,92.750000,89.769997,92.089996,72.275238,43714100
2013-12-23,92.559998,92.959999,91.760002,92.349998,72.479279,15429900
2013-12-30,92.160004,92.300003,91.010002,91.849998,72.086891,22275500
2014-01-06,91.930000,95.379997,91.870003,94.739998,74.355042,42245600
2014-01-13,94.370003,95.269997,94.059998,95.059998,74.606178,46662700
2014-01-20,94.930000,95.099998,90.610001,90.610001,71.113670,45170400
2014-01-27,90.300003,90.760002,88.150002,88.470001,69.434128,47168400
2014-02-03,88.750000,90.040001,86.089996,90.040001,70.666306,55521300
