Date,Open,High,Low,Close,Adj Close,Volume,Log Return
2013-02-11,17.017857,17.319286,16.425714,16.434286,14.215654,2348771600,0.0
2013-02-18,16.467857,16.526072,15.815,16.100357,13.926806,1689923200,-0.020528279585702414
2013-02-25,16.208929,16.254286,15.356429,15.373929,13.298445,2336392800,-0.04616836109812641
2013-03-04,15.278571,15.551071,14.964286,15.418571,13.337065,2541394800,0.002899890189009439
2013-03-11,15.348214,15.865357,15.183571,15.845,13.705922,2293533200,0.02728100092103827
2013-03-18,15.766071,16.503571,15.757143,16.496786,14.26972,2219994000,0.040311807503333776
2013-03-25,16.596071,16.78393,15.772143,15.809286,13.67503,1569506400,-0.04256826762258065
2013-04-01,15.782143,15.846429,14.988571,15.114286,13.073856,2024610000,-0.04495703118674521
2013-04-08,15.173214,15.6425,15.088929,15.35,13.277745,1550348800,0.015474814509880853
2013-04-15,15.25,15.281786,13.753571,13.9475,12.064587,2843920800,-0.09581485816936937
2013-04-22,14.022857,14.956071,13.973929,14.9,12.888497,3212745200,0.0660607408918022
2013-04-29,15.016071,16.186787,15.0,16.070715,13.901167,2621903200,0.07563758531151574
2013-05-06,16.275356,16.633928,16.088572,16.1775,13.993536,2186332400,0.00662271525968225
2013-05-13,16.125357,16.353571,14.960714,15.473571,13.473228,2536788800,-0.03789090334180229
2013-05-20,15.425357,16.012501,15.360714,15.898214,13.842978,1979826800,0.02707349508856958
2013-05-27,16.067858,16.325001,15.692857,16.061787,13.985407,1454544000,0.010236328386939478
2013-06-03,16.0975,16.229643,15.456071,15.778929,13.739112,1777140400,-0.017767772955679228
2013-06-10,15.883214,16.03857,15.303571,15.358929,13.373409,1559191200,-0.026978323449169617
2013-06-17,15.408571,15.560714,14.575,14.767857,12.858747,1603809200,-0.03924405227663559
2013-06-24,14.55,14.595,13.888214,14.161786,12.331027,2078395200,-0.041905673669470345
2013-07-01,14.381786,15.1175,14.329286,14.907857,12.980649,1375872400,0.05134110353655072
2013-07-08,15.003929,15.349643,14.656429,15.2325,13.263325,1537984000,0.021542997445977177
2013-07-15,15.178929,15.531071,15.148929,15.176786,13.214814,1145046000,-0.003664234429632119
2013-07-22,15.337857,15.878214,14.953929,15.749643,13.71361,1598774800,0.03705029732301152
2013-07-29,15.742857,16.530357,15.721429,16.519285,14.38376,1361472000,0.04771102201893856
2013-08-05,16.596071,16.853214,16.201786,16.230356,14.132183,1475213600,-0.017645113636380973
2013-08-12,16.316429,18.008928,16.308214,17.940357,15.72427,2855347600,0.1067506998675469
2013-08-19,18.012142,18.347857,17.792856,17.893572,15.683263,1672025600,-0.002611285853084254
2013-08-26,17.883928,18.22143,17.357143,17.400715,15.25128,1574717200,-0.027930658805009126
2013-09-02,17.610714,17.937143,17.405357,17.793571,15.59561,1272854800,0.022326030438431677
2013-09-09,18.035713,18.139999,16.59643,16.603571,14.552605,2685466000,-0.06921944900295039
2013-09-16,16.464287,17.09107,15.972143,16.693214,14.631174,2503793600,0.005384442489374487
2013-09-23,17.717857,17.746786,17.168571,17.241072,15.111363,1908670400,0.03229251949634249
2013-09-30,17.044643,17.583929,16.943214,17.251072,15.120124,1484845600,0.0005795943974079784
2013-10-07,17.377144,17.637142,17.081429,17.600357,15.426264,1451276400,0.02004493955284411
2013-10-14,17.493929,18.187857,17.476786,18.174643,15.929609,1377208000,0.03210806740805603
2013-10-21,18.2775,19.043928,18.143929,18.784286,16.463949,1968450400,0.03299350268239785
